Car,MPG,Horsepower,Origin
dtype,float,float,category
Car_1,23.86619601674928,136.91792045860907,USA
Car_2,28.36306445544921,156.61187121377895,Europe
Car_3,10.02366554600192,151.4639213514189,Europe
Car_4,24.859378380290828,177.14466357358185,Japan
Car_5,28.961975197078672,135.592251374275,Japan
Car_6,29.972590580142384,113.44858191777524,USA
Car_7,21.513351707512705,160.7815823196151,Europe
Car_8,23.49582356522484,135.6741044100389,USA
Car_9,21.91925935553686,173.510458471091,Japan
Car_10,23.036626732369577,150.22615891372803,Japan
Car_11,19.840867246357824,169.64439613094467,USA
Car_12,20.55373918764541,119.57048859807637,Europe
Car_13,27.17188461014184,,Japan
Car_14,25.658076866363707,129.02210377848252,USA
Car_15,27.457932537952367,113.3887904077134,Europe
Car_16,26.070071948504182,124.16676365786954,USA
Car_17,28.52169300573798,133.66568724672422,Japan
Car_18,29.391069990774973,187.3408358107156,Europe
Car_19,16.291416900669482,132.8717880152202,Japan
Car_20,20.728451747928187,111.85379249165332,Japan
Car_21,23.84312021254981,153.94432267490006,Japan
Car_22,24.88661237256329,150.87541982033025,Japan
Car_23,21.64954713090983,135.23840963969403,Japan
Car_24,29.56011835494153,145.16329602461622,USA
Car_25,34.89974184145299,179.28681257989712,Japan
Car_26,25.93080977790867,170.1211729619753,Japan
Car_27,25.421705160991056,167.52690620621195,Japan
Car_28,29.24728127552165,114.48963646439309,Europe
Car_29,15.67080122398282,236.5964418514597,Japan
Car_30,25.14234470219205,181.53756630822664,Europe
Car_31,29.895179127337585,165.51085689572616,USA
Car_32,21.78423001399444,115.07064676808372,Japan
Car_33,18.867197100490174,178.43190338202322,USA
Car_34,24.070971949501107,134.96614469102016,USA
Car_35,24.6965728339904,144.17187586092103,Japan
Car_36,20.45673859042271,99.5766217182215,USA
Car_37,,112.75550742178471,Japan
Car_38,22.606518094960272,163.15639496481404,USA
Car_39,19.231703242867155,180.1870402581147,Europe
Car_40,24.531893404646944,170.54713259385105,Europe
Car_41,29.539303188522457,169.52456990228848,Europe
Car_42,25.087071244991154,148.0570062912088,Japan
Car_43,27.42796960022001,137.79878953901363,USA
Car_44,20.64244702833421,158.6668543069618,Europe
Car_45,32.438442232017564,174.6422496930082,Japan
Car_46,27.80855513959221,150.14586764800774,Europe
Car_47,30.23850784438805,186.30756059740213,Europe
Car_48,26.82580316237585,143.54792208551976,Japan
Car_49,29.12442018864392,120.59163194111846,Europe
Car_50,20.634737201613863,149.68913273876998,Japan
Car_51,22.542947916552187,153.17916834778703,Europe
Car_52,31.73240297778015,147.53909798170773,Japan
Car_53,32.798709736419816,188.41966682646785,Europe
Car_54,19.264672001404616,174.15905942172117,USA
Car_55,26.248680339319066,,USA
Car_56,22.845280997573862,196.03101042594855,Japan
Car_57,21.51484265317569,67.75748817512482,Japan
Car_58,26.42419847677725,214.5307311855749,USA
Car_59,,141.3808345932937,Japan
Car_60,27.25831236642097,144.312967900455,Europe
Car_61,23.402437750404825,148.1995128307908,Europe
Car_62,27.5743058996758,161.55616298520542,Europe
Car_63,23.20011913209549,149.9921039619947,Europe
Car_64,27.06057150365301,145.99814433488197,Europe
Car_65,31.982328502278666,189.2675492806856,Europe
Car_66,14.614201703495862,166.9678823925255,Europe
Car_67,28.98626149270017,121.23588436887717,Japan
Car_68,17.30472539214766,172.22021743007173,USA
Car_69,31.141638552722306,165.72321009550018,Europe
Car_70,21.8148719506357,133.64178823256344,Europe
Car_71,18.911643111967575,,Japan
Car_72,28.476346135443737,145.2728219633088,Japan
Car_73,26.82085031571205,143.34979583624698,USA
Car_74,20.00406548519171,142.53260647701197,USA
Car_75,18.735001214158032,77.15645829142802,Japan
Car_76,24.06259256254359,134.19902001196195,Europe
Car_77,18.979565249144017,171.39519726376804,Europe
Car_78,19.692635135381863,,Europe
Car_79,25.578103952107167,111.44440710432752,Europe
Car_80,20.17064182872452,178.93893765576112,Europe
Car_81,27.132696450132716,141.04199521369813,Japan
Car_82,32.450717979417384,113.3527352801543,USA
Car_83,24.25722292549709,216.18037385013045,USA
Car_84,25.650755309927924,118.40482216536734,Japan
Car_85,35.090483664177434,176.3847453385713,Europe
Car_86,19.061994413113265,126.92057697436186,Japan
Car_87,30.956175975903708,154.07480503721465,USA
Car_88,30.35428798956241,122.93457109895472,USA
Car_89,29.271586695868915,112.82087456179023,USA
Car_90,31.458739253663158,165.66607634014227,USA
Car_91,26.40287482979309,162.158716354032,Japan
Car_92,22.085352522003664,184.33948332657195,Europe
Car_93,30.472866456102835,148.9685420911241,Europe
Car_94,30.66421105856448,216.6105538237948,Japan
Car_95,30.52656950746644,,Europe
Car_96,25.222510411596183,167.00324043711638,Europe
Car_97,21.419027431933365,109.24712264678314,Europe
Car_98,25.956811270558056,131.5774705463241,Europe
Car_99,29.71115008783918,165.59039101547933,USA
Car_100,30.121758949299828,147.47316712759252,Europe
Car_101,22.851619364627027,155.63049405103908,Japan
Car_102,26.57686448063695,125.5051873285742,USA
Car_103,18.45610847757022,153.65840920414863,USA
Car_104,29.924750515029256,153.55637674775207,Japan
Car_105,21.08345621637468,114.58694940344284,Europe
Car_106,28.92627679785774,169.2764953404177,USA
Car_107,19.253477113049197,98.99805159246094,Japan
Car_108,30.15707953217004,155.52714241793052,Japan
Car_109,26.60917595011385,202.967780814765,Europe
Car_110,21.09321152191527,170.41651613457248,Europe
Car_111,28.456781905402625,170.2289773811131,Japan
Car_112,22.048191540973345,123.07719975153944,Europe
Car_113,28.74777518722564,203.0718615945858,Japan
Car_114,23.62944262309639,191.30154283806863,Europe
Car_115,16.394764371851686,124.692299313133,Europe
Car_116,20.087918797595314,135.75710274555368,Japan
Car_117,22.847926456563577,187.63968134780063,Japan
Car_118,31.840945118742887,203.88442134950276,Europe
Car_119,29.505718152646125,112.05941894729136,Japan
Car_120,33.11930706161071,,USA
Car_121,33.26817608014929,145.68639730733491,Europe
Car_122,22.326245977045424,84.86717911672454,USA
Car_123,24.057565701205853,150.5713548062827,USA
Car_124,22.94360037834731,,USA
Car_125,21.642446973494614,106.84088951292752,Japan
Car_126,15.792526453317707,153.8132089492526,Europe
Car_127,24.92626140991579,,Europe
Car_128,18.572172031444445,199.19837846261757,USA
Car_129,24.829140592328365,132.90624413600847,Japan
Car_130,35.57885404781492,195.5697926324575,Europe
Car_131,22.453274518346458,132.07634787566317,Europe
Car_132,25.973870028140336,,Europe
Car_133,29.53324192904641,157.55836855088097,USA
Car_134,26.401456459829536,145.85182000457095,USA
Car_135,26.46242093971148,126.28414292838072,USA
Car_136,23.1879878315596,159.6928626395368,USA
Car_137,23.84061012469384,,USA
Car_138,20.19994738906086,129.30701325575586,Europe
Car_139,29.23022504444704,,USA
Car_140,16.29254171692952,166.4259068247968,Japan
Car_141,29.85544169191101,169.30916855721608,USA
Car_142,17.981508076273787,138.2520444416321,USA
Car_143,29.813036370383266,144.42064958750086,USA
Car_144,23.23091236893909,142.54269997946665,Europe
Car_145,18.8406565593346,160.1171673750293,Europe
Car_146,27.89649322539818,169.25410355527518,Japan
Car_147,29.64383767537888,149.09245889065284,Europe
Car_148,22.809606759482318,126.22065017458075,USA
